iso,year,gdp_pc_ppp,population,reserves_oil,reserves_gas,reserves_coal,coc,hdi,emissions_total,log_gdp_pc_ppp
EGY,1981,1154.23453239228,44400113.0,0.010384296652567454,1.894159503603065,0.000221469461813421,-0.47,0.389,95983556.5675983,7.0511926607274855
EGY,1982,1236.8523431477902,45539295.0,0.010229266215357179,1.8405583134301924,0.000221469461813421,-0.47,0.389,102505143.76074164,7.120324998370191
EGY,1983,1266.7879414008698,46728284.0,0.011312926895576173,4.35099701071839,0.000221469461813421,-0.47,0.389,110163939.77953592,7.144239795674491
EGY,1984,1354.29760178119,47968643.0,0.011434701347383388,4.19126469764842,0.000221469461813421,-0.47,0.389,119162102.1202357,7.211038223841763
EGY,1985,1395.20846851862,49258726.0,0.010328326699947352,4.024009877965581,0.000221469461813421,-0.47,0.389,124525246.93772046,7.240799122888745
EGY,1986,1422.60046149895,50602360.0,0.01209631593493172,3.95073684310376,0.000221469461813421,-0.47,0.389,127688101.373629,7.260241786704642
EGY,1987,1437.65280182474,51991696.0,0.011008589560534623,4.847303307820542,0.000221469461813421,-0.47,0.389,136768099.3884193,7.270767063943946
EGY,1988,1476.2031006201,53399243.0,0.012802551130559335,5.430115029907821,0.000221469461813421,-0.47,0.389,138356878.61609772,7.297228597740263
EGY,1989,1509.56646141306,54788680.0,0.012477879351002117,5.9281168299729075,0.000221469461813421,-0.47,0.389,145365204.52764106,7.3195777769375505
EGY,1990,1556.87214111933,56134478.0,0.01274518046244435,5.912104428939377,0.000221469461813421,-0.47,0.389,149375336.47714278,7.35043404972047
EGY,1991,1539.02364351996,57424552.0,0.012458853005507333,6.1146026877144815,0.000221469461813421,-0.47,0.392,158749653.50632334,7.338903496631826
EGY,1992,1573.8156572324099,58666812.0,0.012195038862434048,5.985126991389953,0.000221469461813421,-0.47,0.4,161453008.52603376,7.361258304731285
EGY,1993,1586.64041970457,59880656.0,0.016461458212280313,7.282463973006575,0.000221469461813421,-0.47,0.408,163171896.23976997,7.36937411621753
EGY,1994,1616.8695705707198,61095804.0,0.016394279273011236,7.137621431416141,0.000221469461813421,-0.47,0.41600000000000004,158407141.291589,7.38824719495752
EGY,1995,1658.32280900146,62334025.0,0.008314872479059801,8.762968090059962,0.000221469461813421,-0.47,0.424,167731970.48689732,7.413562014573667
EGY,1996,1706.3525003878399,63601632.0,0.00969754279008688,9.839390284827912,0.000221469461813421,-0.47,0.433,177905088.58322287,7.4421133306163085
EGY,1997,1764.26984976936,64892269.0,0.009055702400466914,8.882672615438981,0.000221469461813421,-0.47,0.442,184656489.00211388,7.47549220092682
EGY,1998,1825.83429881266,66200259.0,0.009209114660719686,11.815159961836402,0.000221469461813421,-0.46,0.43799999999999994,188906203.60095555,7.509792311589685
EGY,1999,1898.6363738842,67515591.0,0.00824189608445944,13.211455114123195,0.000221469461813421,-0.46,0.461,201396220.65315184,7.548891209530377
EGY,2000,1980.9678464934802,68831561.0,0.006808292397933975,14.472794304345356,0.000221469461813421,-0.55,0.46799999999999997,201112282.82505035,7.591340815619569
