iso,year,log_gdp_pc_ppp,coc,hdi,reserves_coal,reserves_gas,reserves_oil,length_sequence,carbon_pricing
CHN,2017,8.896733861899213,-0.27,0.647,0.11037371881029577,3.766715791098497,0.002938023774575768,6.2,0.0
CHN,2018,8.955778329154324,-0.27,0.649,0.11206880332153396,4.233602837592355,0.0029254954369796536,6.2,0.0
CHN,2019,8.955778329154324,-0.3,0.657,0.11166910596938576,4.307442097995658,0.002949199664169311,6.2,0.0
CHN,2020,8.955778329154324,-0.07,0.657,0.11166910596938576,4.503283889446777,0.002965681819531631,6.2,0.0
COL,1988,8.367453446244875,-0.51,0.433,0.13196344085360626,3.203406190840847,0.00794375103535533,0.0,0.0
COL,1989,8.381267400968868,-0.51,0.433,0.13196344085360626,3.439980057611959,0.009933815482608448,0.0,0.0
COL,1990,8.40351640352454,-0.51,0.433,0.13196344085360626,3.4388127398813064,0.009893926612609105,0.0,0.0
COL,1991,8.403718456332705,-0.51,0.438,0.13196344085360626,3.774641919469472,0.009419161231696494,0.0,0.0
COL,1992,8.423886074217856,-0.51,0.457,0.13196344085360626,3.199181281303592,0.008938111183097458,0.0,0.0
COL,1993,8.457099989889045,-0.51,0.466,0.13196344085360626,5.810019083947713,0.008767785333963747,0.0,0.0
COL,1994,8.49477002071321,-0.51,0.474,0.13196344085360626,7.918794547204341,0.00860406972458029,0.0,0.0
COL,1995,8.527130146915207,-0.51,0.48,0.13196344085360626,6.128067145509193,0.014811381441567194,0.0,0.0
COL,1996,8.529657478895023,-0.51,0.498,0.13196344085360626,7.637421629027663,0.015008379460028427,0.0,0.0
COL,1997,8.546074290659693,-0.51,0.512,0.13196344085360626,6.192737248680892,0.011800644491815738,0.0,0.0
COL,1998,8.534919581005045,-0.5,0.526,0.13196344085360626,10.48105886547097,0.011603629073302223,0.0,0.0
COL,1999,8.475549658666129,-0.5,0.529,0.13196344085360626,5.03682874853575,0.01050636788471872,0.0,0.0
COL,2000,8.488341176731478,-0.4,0.534,0.13196344085360626,4.956694804045373,0.010339215745366295,0.0,0.0
COL,2001,8.489308306147326,-0.4,0.537,0.13196344085360626,4.8796168596766165,0.007788250823397944,0.0,0.0
COL,2002,8.498770556599487,-0.24,0.54,0.13196344085360626,2.994106978328241,0.006806746708315044,0.2,0.0
COL,2003,8.522427897371871,-0.18,0.5329999999999999,0.13196344085360626,3.07646831038337,0.007060604302456609,0.2,0.0
COL,2004,8.560212896737738,-0.13,0.56,0.13196344085360626,3.0331771118767055,0.006961249460606614,0.8,0.0
COL,2005,8.592706996664901,-0.13,0.565,0.13196344085360626,2.6824374783268072,0.00574846123887822,0.8,0.0
COL,2006,8.645414510280542,-0.12,0.5770000000000001,0.13196344085360626,2.64808995534607,0.0056748545262888155,0.8,0.0
COL,2007,8.69931275163318,-0.22,0.602,0.13196344085360626,2.5871140726980544,0.005281711842714673,0.8,0.0
COL,2008,8.719602490164647,-0.24,0.614,0.13196344085360626,2.7782538332642037,0.005410358776442208,0.8,0.0
COL,2009,8.720459780702088,-0.31,0.617,0.13050349347064474,2.365952791922888,0.004814031141021526,0.8,0.0
COL,2010,8.752510258870009,-0.39,0.634,0.12053510892837245,2.4764763376905035,0.004763717298660013,0.8,0.0
COL,2011,8.813859983059553,-0.29,0.638,0.117828546539261,2.4805165576219057,0.006615379000901315,0.8,0.0
COL,2012,8.843127989253084,-0.39,0.644,0.11677245614886853,2.910608057549441,0.0068583558032994955,0.8,0.0
COL,2013,8.878701646749604,-0.41,0.644,0.1157182100578697,3.654134899787704,0.00752272172491354,0.8,0.0
COL,2014,8.914802232441463,-0.37,0.664,0.11455477748902618,4.225118731581227,0.008046240264926532,1.2,0.0
COL,2015,8.93226078175417,-0.3,0.664,0.11322179274125088,3.282128476858289,0.008180116700301034,1.2,0.0
COL,2016,8.939319126764756,-0.32,0.6729999999999999,0.1116838557171754,2.7967036877679914,0.007616874715590245,3.0,1.0
COL,2017,8.937708025681037,-0.37,0.6779999999999999,0.11000597568865686,2.5248407007799902,0.006507751475936802,3.8,1.0
COL,2018,8.947903028145415,-0.29,0.6779999999999999,0.10108362858816372,2.294490137301953,0.005331988978440286,4.0,1.0
COL,2019,8.947903028145415,-0.24,0.682,0.09972140017520656,2.191566815707516,0.005628765382146089,4.0,1.0
COL,2020,8.947903028145415,-0.18,0.682,0.09972140017520656,2.105274818935184,0.006124173929638194,4.0,1.0
DEU,1988,10.313670005420496,1.91,0.6920000000000001,0.5463751271661511,4.388341745038887,0.0008444747653358241,2.0,0.0
DEU,1989,10.344162158649652,1.91,0.6920000000000001,0.5463751271661511,4.388341745038887,0.0008444747653358241,2.0,0.0
DEU,1990,10.386758313392416,1.91,0.6920000000000001,0.5463751271661511,4.388341745038887,0.0008444747653358241,2.0,0.0
DEU,1991,10.429292952894633,1.91,0.705,0.5463751271661511,4.388341745038887,0.0008444747653358241,2.0,0.0
DEU,1992,10.440786699532458,1.91,0.715,0.5463751271661511,3.076668586924303,0.0008854049437907149,2.0,0.0
DEU,1993,10.424371117538316,1.91,0.74,0.5463751271661511,4.226426440524447,0.0008802185942762252,2.0,0.0
DEU,1994,10.44460002559664,1.91,0.75,0.5463751271661511,4.2117921940165095,0.0008771707863773349,2.0,0.0
DEU,1995,10.45689236717042,1.91,0.759,0.5463751271661511,3.7095615809931606,0.0007170923039179952,4.333333333333333,0.0
DEU,1996,10.462173641484863,1.91,0.767,0.5463751271661511,3.9065960692759036,0.0006574178093901402,4.333333333333333,0.0
DEU,1997,10.47838967948247,1.91,0.775,0.5463751271661511,4.010651766188267,0.000746827939701635,4.333333333333333,0.0
DEU,1998,10.498227592925485,2.05,0.794,0.5463751271661511,4.180537779506052,0.0007954106971343018,4.333333333333333,0.0
DEU,1999,10.516324087651665,2.05,0.81,0.5463751271661511,4.2326765049891515,0.0007523129982787784,5.666666666666667,0.0
DEU,2000,10.54351045332525,1.86,0.825,0.5463751271661511,4.129471937189135,0.00069034071046409,6.0,0.0
DEU,2001,10.558663019193096,1.86,0.84,0.5463751271661511,3.9536959675433834,0.0007330501555392943,6.333333333333333,0.0
DEU,2002,10.554995173462373,1.94,0.856,0.5463751271661511,4.14959053865633,0.0007021484719881196,6.333333333333333,0.0
DEU,2003,10.547280627407462,1.93,0.871,0.5463751271661511,3.8748789253072577,0.0006594019077175872,6.333333333333333,1.0
DEU,2004,10.559326635448382,1.86,0.894,0.5463751271661511,3.706196087898313,0.0008516200890604256,6.333333333333333,1.0
DEU,2005,10.567087026778076,1.89,0.893,0.5463751271661511,3.3841680229067213,0.0007602500604968997,6.333333333333333,1.0
DEU,2006,10.605651315203051,1.8,0.911,0.5463751271661511,3.119863427959527,0.0007087005322145907,6.333333333333333,1.0
DEU,2007,10.636392701639485,1.74,0.915,0.5463751271661511,3.0978781949932106,0.0007092623113635631,6.666666666666667,1.0
DEU,2008,10.647870791547218,1.76,0.919,0.5463751271661511,3.103774192350546,0.000710612205855934,6.666666666666667,1.0
DEU,2009,10.591745834270434,1.76,0.923,0.5474113767027344,2.1435801558068444,0.0005357671858930691,6.666666666666667,1.0
DEU,2010,10.634217909050253,1.77,0.925,0.5467139851055792,2.1468666040654742,0.0005365886019387157,6.666666666666667,1.0
DEU,2011,10.691246015918312,1.75,0.93,0.5567919694234006,2.187034533535809,0.0005466281885047578,6.666666666666667,1.0
DEU,2012,10.69355547209743,1.83,0.933,0.5542126334224768,2.182932713041681,0.0005456029780328168,7.0,1.0
DEU,2013,10.695099759047821,1.81,0.931,0.5512670480927016,1.5498718770849322,0.0005010599160673212,7.0,1.0
DEU,2014,10.712943803276387,1.82,0.933,0.4943907820825487,1.4322305782113418,0.0004565696122196498,7.0,1.0
DEU,2015,10.721534671253735,1.82,0.934,0.4886584133108424,0.7099426171566843,0.0002858741913807596,7.0,1.0
DEU,2016,10.735517476326002,1.83,0.937,0.4833376175151052,0.5756295004598071,0.00025577429671606834,7.0,1.0
DEU,2017,10.756131614658496,1.84,0.94,0.4540772410424467,0.5080490869968887,0.0002797482513282012,7.0,1.0
DEU,2018,10.768018315978736,1.94,0.943,0.4773241147402722,0.476467805345591,0.00024853258974776005,7.0,1.0
DEU,2019,10.768018315978736,1.9,0.943,0.4762488669016275,0.41643875446394607,0.00021628732639415136,7.0,1.0
DEU,2020,10.768018315978736,1.86,0.943,0.4762488669016275,0.34120100035409434,0.00019527614545548038,7.0,1.0
EGY,1988,7.297228597740263,-0.47,0.389,0.000221469461813421,5.430115029907822,0.012802551130559336,0.0,0.0
EGY,1989,7.3195777769375505,-0.47,0.389,0.000221469461813421,5.928116829972908,0.012477879351002115,0.0,0.0
EGY,1990,7.350434049720469,-0.47,0.389,0.000221469461813421,5.9121044289393785,0.01274518046244435,0.0,0.0
EGY,1991,7.3389034966318265,-0.47,0.392,0.000221469461813421,6.1146026877144815,0.012458853005507331,0.0,0.0
EGY,1992,7.361258304731286,-0.47,0.4,0.000221469461813421,5.985126991389952,0.012195038862434048,0.0,0.0
EGY,1993,7.3693741162175295,-0.47,0.408,0.000221469461813421,7.282463973006575,0.016461458212280313,0.0,0.0
EGY,1994,7.38824719495752,-0.47,0.416,0.000221469461813421,7.137621431416142,0.016394279273011236,0.0,0.0
EGY,1995,7.413562014573668,-0.47,0.424,0.000221469461813421,8.762968090059964,0.008314872479059801,0.0,0.0
EGY,1996,7.442113330616308,-0.47,0.433,0.000221469461813421,9.839390284827912,0.00969754279008688,0.0,0.0
EGY,1997,7.47549220092682,-0.47,0.442,0.000221469461813421,8.882672615438981,0.009055702400466914,0.0,0.0
EGY,1998,7.509792311589685,-0.46,0.438,0.000221469461813421,11.815159961836402,0.009209114660719686,0.0,0.0
EGY,1999,7.548891209530377,-0.46,0.461,0.000221469461813421,13.211455114123194,0.008241896084459441,0.0,0.0
EGY,2000,7.591340815619569,-0.55,0.468,0.000221469461813421,14.472794304345355,0.006808292397933975,0.0,0.0
EGY,2001,7.607071419471409,-0.55,0.476,0.000221469461813421,14.200245515986266,0.006680079987474014,0.0,0.0
EGY,2002,7.611877777546092,-0.41,0.484,0.000221469461813421,13.935572649294304,0.006555572568357497,0.0,0.0
EGY,2003,7.624726892287513,-0.55,0.487,0.000221469461813421,22.746415838650808,0.008077515923306102,0.2,0.0
EGY,2004,7.646519179329267,-0.65,0.4970000000000001,0.000221469461813421,22.333645710562788,0.0079309364663074,0.2,0.0
EGY,2005,7.672208565263139,-0.62,0.507,0.000221469461813421,21.933982575189503,0.007789011454347903,0.2,0.0
EGY,2006,7.720688137209923,-0.75,0.518,0.000221469461813421,21.54876695752915,0.007652216923392814,0.2,0.0
EGY,2007,7.771650218578803,-0.76,0.529,0.000221469461813421,21.17458551937053,0.007519340757478532,0.2,0.0
EGY,2008,7.822981533146282,-0.78,0.54,0.000221469461813421,20.80128478446849,0.007386777339499095,0.6,0.0
EGY,2009,7.850013581955832,-0.52,0.54,0.0002173785156451199,20.417046995709818,0.007250330046921234,0.6,0.0
EGY,2010,7.880357169535991,-0.63,0.551,0.0002131065115454282,20.015803532387697,0.007107843842189158,0.6,0.0
EGY,2011,7.876711157999178,-0.7,0.556,0.00020864919292849288,25.86154418900506,0.008275777760740923,0.6,0.0
EGY,2012,7.8765815532328896,-0.6,0.5710000000000001,0.00020407895004804323,25.29507404575489,0.008094505483286333,1.6,0.0
EGY,2013,7.875521417226452,-0.63,0.583,0.00019950262345922706,24.727849842110118,0.007912991904067305,1.8,0.0
EGY,2014,7.881671002013223,-0.62,0.586,0.0001950458916807967,24.17544911527903,0.007736221885358622,1.8,0.0
EGY,2015,7.902392052491437,-0.64,0.597,0.00019078833492572775,23.647735633079535,0.007567351864755347,1.8,0.0
EGY,2016,7.923488078370564,-0.64,0.604,0.00018673908902902875,23.145841759348997,0.007406744202346809,1.8,0.0
EGY,2017,7.9435414375417555,-0.54,0.605,0.0001828752214141076,22.666925058731838,0.0072534893096285295,1.8,0.0
EGY,2018,7.974986142858378,-0.56,0.609,0.00017919441720899425,18.125311040740005,0.005766763289204985,1.8,0.0
EGY,2019,7.974986142858378,-0.67,0.618,0.00017568779782172538,17.770620486839487,0.0052263076709271284,1.8,0.0
EGY,2020,7.974986142858378,-0.81,0.618,0.00017568779782172538,17.43263602172966,0.005126907044822605,1.8,0.0
ESP,1988,9.940165643027292,1.13,0.591,0.028472797838782888,0.4382620975052995,0.00015830293159975155,0.0,0.0
ESP,1989,9.985739356372456,1.13,0.591,0.028472797838782888,0.6126057632368426,0.00010627761892123571,0.0,0.0
ESP,1990,10.021837582841213,1.13,0.591,0.028472797838782888,0.5901257616874145,0.00010226300590779522,0.0,0.0
ESP,1991,10.044433606629253,1.13,0.609,0.028472797838782888,0.5668246900866531,8.160243958650257e-05,0.6666666666666666,0.0
ESP,1992,10.04878527540585,1.13,0.627,0.028472797838782888,0.5351294899072814,8.684336355040378e-05,0.6666666666666666,0.0
ESP,1993,10.033231354985467,1.13,0.6509999999999999,0.028472797838782888,0.503585479550935,9.095445256772156e-05,0.6666666666666666,0.0
ESP,1994,10.052022754256868,1.13,0.6709999999999999,0.028472797838782888,0.5011936046699207,9.052244712029058e-05,1.3333333333333333,0.0
ESP,1995,10.07481069617294,1.13,0.687,0.028472797838782888,0.47760125163471506,8.101455754638881e-05,3.3333333333333335,0.0
ESP,1996,10.096903017959306,1.13,0.6970000000000001,0.028472797838782888,0.4259248693126261,7.971329007299759e-05,3.6666666666666665,0.0
ESP,1997,10.129068633936964,1.13,0.701,0.028472797838782888,0.4241434707589154,0.00011906984289883232,3.6666666666666665,0.0
ESP,1998,10.167922954324373,1.4,0.7040000000000001,0.028472797838782888,0.4223917908305812,0.00011857809360111804,3.6666666666666665,0.0
ESP,1999,10.207795613150044,1.4,0.7090000000000001,0.028472797838782888,0.04206832046302171,5.5108669656770616e-05,5.0,0.0
ESP,2000,10.25445447356201,1.37,0.715,0.028472797838782888,0.041880637343883816,5.486280847432065e-05,5.333333333333333,0.0
ESP,2001,10.28608957528864,1.37,0.716,0.028472797838782888,0.012477289090744055,8.176587787466477e-05,6.0,0.0
ESP,2002,10.298907573094565,1.36,0.7170000000000001,0.028472797838782888,0.012302274512582895,8.061897645079482e-05,6.0,0.0
ESP,2003,10.31020603691183,1.39,0.72,0.028472797838782888,0.06309380862572443,0.0005940263852863232,6.333333333333333,1.0
