,ATE
509,0.33333333333333304
510,0.2666666666666666
511,-0.4666666666666668
512,-0.7333333333333334
513,0.20000000000000018
514,-0.2666666666666666
515,0.0
516,-0.2666666666666666
517,0.5999999999999996
518,0.39999999999999947
519,0.7999999999999998
520,0.9999999999999996
521,0.33333333333333304
522,0.5999999999999996
523,0.2666666666666666
524,0.33333333333333304
525,0.06666666666666687
526,0.8666666666666663
527,0.666666666666667
528,0.26666666666666705
529,-0.19999999999999973
530,0.2666666666666666
531,-0.13333333333333375
532,-1.333333333333334
533,-0.2666666666666675
534,-0.9333333333333336
535,0.40000000000000036
536,0.666666666666667
537,0.4666666666666668
538,-0.20000000000000018
539,-0.2666666666666666
540,0.5333333333333332
541,1.733333333333333
542,0.8000000000000007
543,-0.2666666666666666
544,0.5333333333333332
545,0.13333333333333375
546,1.1999999999999997
547,-0.06666666666666643
548,0.9333333333333336
549,-0.1333333333333333
550,-0.20000000000000018
551,0.46666666666666723
552,0.06666666666666643
553,0.0
554,-0.5333333333333332
555,-0.4666666666666668
556,0.0
557,1.666666666666667
558,0.2666666666666666
559,-0.40000000000000036
560,0.0
561,-0.06666666666666643
562,1.4
563,-0.5999999999999996
564,-0.9333333333333331
565,-0.5333333333333332
566,-1.1333333333333337
567,0.3333333333333339
568,0.40000000000000036
569,0.06666666666666732
570,0.06666666666666732
571,0.20000000000000018
572,-1.0666666666666664
573,-0.13333333333333286
574,0.6666666666666661
575,0.06666666666666732
576,-0.2666666666666666
577,-0.7999999999999998
578,0.666666666666667
579,-0.20000000000000018
580,-0.2666666666666666
581,-0.2666666666666666
582,1.1333333333333329
583,0.7999999999999998
584,0.13333333333333286
585,-0.20000000000000018
586,0.06666666666666643
587,0.8666666666666663
588,1.5333333333333328
589,0.3333333333333339
590,-0.666666666666667
591,-0.20000000000000018
592,0.6666666666666661
593,-0.13333333333333286
594,0.5333333333333332
595,-0.9333333333333327
596,0.20000000000000018
597,0.5333333333333332
598,-0.8666666666666671
599,-0.9333333333333327
600,-0.5999999999999996
601,0.0
602,-0.4666666666666668
603,0.4666666666666668
604,-0.06666666666666643
605,1.1333333333333333
606,0.20000000000000062
607,-0.5333333333333332
608,0.20000000000000018
609,-1.6
610,-0.4666666666666668
611,-0.13333333333333286
612,0.8000000000000003
613,1.0000000000000004
614,-0.9333333333333327
615,0.2666666666666666
616,-0.1999999999999993
617,-0.7999999999999998
618,-0.33333333333333304
619,-0.06666666666666732
620,0.5333333333333332
621,1.1333333333333337
622,0.20000000000000018
623,-0.33333333333333304
624,0.40000000000000036
625,0.4666666666666659
626,0.5333333333333332
627,0.6000000000000005
628,0.4666666666666659
629,-0.8666666666666667
630,0.9333333333333336
631,0.2666666666666666
632,0.13333333333333375
633,-0.7999999999999998
634,-0.7333333333333334
635,1.0666666666666669
636,1.7333333333333334
637,-0.06666666666666687
638,-0.666666666666667
639,0.06666666666666643
640,-0.2666666666666666
641,0.0
642,0.8666666666666663
643,0.6000000000000005
644,1.2000000000000002
645,0.5333333333333332
646,-1.2666666666666666
647,0.9333333333333331
648,-0.06666666666666643
649,-0.5333333333333332
650,0.06666666666666643
651,-0.39999999999999947
652,-1.2000000000000002
653,-1.3999999999999995
654,-0.7999999999999998
655,0.39999999999999947
656,0.9333333333333336
657,0.9333333333333336
658,-0.7333333333333334
659,1.1333333333333337
660,1.2666666666666666
661,0.6666666666666661
662,-0.33333333333333304
663,0.1333333333333333
664,0.40000000000000036
665,-0.46666666666666634
666,-0.4666666666666668
667,0.733333333333333
668,-0.40000000000000036
669,-0.9333333333333327
670,0.666666666666667
671,0.06666666666666643
672,0.0
673,0.2666666666666666
674,0.3333333333333335
675,0.7333333333333334
676,1.8666666666666663
677,-1.1333333333333337
678,0.5333333333333332
679,0.666666666666667
680,-0.5333333333333332
681,0.3333333333333339
682,-0.33333333333333304
683,-0.6000000000000005
684,1.5333333333333332
685,0.7333333333333334
686,0.39999999999999947
687,-0.2666666666666666
688,0.7333333333333334
689,-0.5333333333333332
690,0.33333333333333304
691,-0.6000000000000005
692,0.6000000000000005
693,-0.8666666666666667
694,-1.0
