,average_treated,average_control,ATE
75,5.916666666666667,2.8333333333333335,3.0833333333333335
76,5.916666666666667,1.6666666666666667,4.25
77,5.916666666666667,3.0,2.916666666666667
78,5.916666666666667,1.6666666666666667,4.25
79,5.916666666666667,2.75,3.166666666666667
80,5.916666666666667,3.1666666666666665,2.7500000000000004
81,5.916666666666667,2.3333333333333335,3.5833333333333335
82,5.916666666666667,2.5833333333333335,3.3333333333333335
83,5.916666666666667,2.75,3.166666666666667
84,5.916666666666667,2.25,3.666666666666667
85,5.916666666666667,2.25,3.666666666666667
86,5.916666666666667,2.0833333333333335,3.8333333333333335
87,5.916666666666667,3.9166666666666665,2.0000000000000004
88,5.916666666666667,2.6666666666666665,3.2500000000000004
89,5.916666666666667,2.75,3.166666666666667
90,5.916666666666667,3.0,2.916666666666667
91,5.916666666666667,3.8333333333333335,2.0833333333333335
92,5.916666666666667,3.0,2.916666666666667
93,5.916666666666667,3.25,2.666666666666667
94,5.916666666666667,3.0833333333333335,2.8333333333333335
95,5.916666666666667,1.5833333333333333,4.333333333333334
96,5.916666666666667,4.083333333333333,1.833333333333334
97,5.916666666666667,2.75,3.166666666666667
98,5.916666666666667,2.75,3.166666666666667
99,5.916666666666667,1.8333333333333333,4.083333333333334
100,5.916666666666667,3.0833333333333335,2.8333333333333335
101,5.916666666666667,2.3333333333333335,3.5833333333333335
102,5.916666666666667,3.5,2.416666666666667
103,5.916666666666667,3.6666666666666665,2.2500000000000004
104,5.916666666666667,3.3333333333333335,2.5833333333333335
105,5.916666666666667,3.8333333333333335,2.0833333333333335
106,5.916666666666667,2.5833333333333335,3.3333333333333335
107,5.916666666666667,2.25,3.666666666666667
108,5.916666666666667,2.8333333333333335,3.0833333333333335
109,5.916666666666667,2.8333333333333335,3.0833333333333335
110,5.916666666666667,2.25,3.666666666666667
111,5.916666666666667,2.75,3.166666666666667
112,5.916666666666667,2.6666666666666665,3.2500000000000004
113,5.916666666666667,2.5833333333333335,3.3333333333333335
114,5.916666666666667,2.9166666666666665,3.0000000000000004
115,5.916666666666667,4.583333333333333,1.333333333333334
116,5.916666666666667,2.5,3.416666666666667
117,5.916666666666667,3.3333333333333335,2.5833333333333335
118,5.916666666666667,2.9166666666666665,3.0000000000000004
119,5.916666666666667,2.4166666666666665,3.5000000000000004
120,5.916666666666667,4.333333333333333,1.583333333333334
121,5.916666666666667,4.0,1.916666666666667
122,5.916666666666667,3.6666666666666665,2.2500000000000004
123,5.916666666666667,1.5,4.416666666666667
124,5.916666666666667,3.1666666666666665,2.7500000000000004
125,5.916666666666667,1.4166666666666667,4.5
126,5.916666666666667,2.4166666666666665,3.5000000000000004
127,5.916666666666667,2.5,3.416666666666667
128,5.916666666666667,2.6666666666666665,3.2500000000000004
129,5.916666666666667,2.25,3.666666666666667
130,5.916666666666667,3.0833333333333335,2.8333333333333335
131,5.916666666666667,2.0,3.916666666666667
132,5.916666666666667,2.6666666666666665,3.2500000000000004
133,5.916666666666667,3.5833333333333335,2.3333333333333335
134,5.916666666666667,3.75,2.166666666666667
135,5.916666666666667,2.75,3.166666666666667
136,5.916666666666667,1.8333333333333333,4.083333333333334
137,5.916666666666667,2.5833333333333335,3.3333333333333335
138,5.916666666666667,2.3333333333333335,3.5833333333333335
139,5.916666666666667,2.1666666666666665,3.7500000000000004
140,5.916666666666667,3.6666666666666665,2.2500000000000004
141,5.916666666666667,2.9166666666666665,3.0000000000000004
142,5.916666666666667,2.9166666666666665,3.0000000000000004
143,5.916666666666667,2.5833333333333335,3.3333333333333335
144,5.916666666666667,2.5,3.416666666666667
145,5.916666666666667,3.25,2.666666666666667
146,5.916666666666667,2.5,3.416666666666667
147,5.916666666666667,2.25,3.666666666666667
148,5.916666666666667,4.0,1.916666666666667
149,5.916666666666667,3.3333333333333335,2.5833333333333335
150,5.916666666666667,3.4166666666666665,2.5000000000000004
151,5.916666666666667,2.9166666666666665,3.0000000000000004
152,5.916666666666667,2.25,3.666666666666667
153,5.916666666666667,4.416666666666667,1.5
154,5.916666666666667,3.1666666666666665,2.7500000000000004
155,5.916666666666667,3.0833333333333335,2.8333333333333335
156,5.916666666666667,4.083333333333333,1.833333333333334
157,5.916666666666667,3.0,2.916666666666667
158,5.916666666666667,3.0833333333333335,2.8333333333333335
159,5.916666666666667,2.9166666666666665,3.0000000000000004
